# 
5500,2.50703547126081e-34,2.50705931229024e-34,2.50745945973897e-34,2.51458414604226e-34,2.64414806616576e-34,6.13538031651027e-34,8.02984839943501e-33,2.32847805821858e-26
5600,4.49542581238489e-34,4.49546856725607e-34,4.49618616431633e-34,4.5089630894382e-34,4.7413141636574e-34,1.10012590096972e-33,1.42751897213849e-32,4.12253352149497e-26
5700,7.89322441069126e-34,7.89329948918614e-34,7.89455960541492e-34,7.9169961669998e-34,8.32500964403359e-34,1.93155720508435e-33,2.48175798464132e-32,7.13213808324251e-26
5800,1.35856366131978e-33,1.35857658492478e-33,1.3587934944998e-33,1.36265560245669e-33,1.43288878639682e-33,3.32434223641264e-33,4.22362178003133e-32,1.20685860752531e-25
5900,2.29445263932097e-33,2.29447446770903e-33,2.29484083501591e-33,2.30136406036582e-33,2.41999007505937e-33,5.61394921537031e-33,7.04312921115513e-32,1.99916905720898e-25
6000,3.80599418426555e-33,3.80603039572894e-33,3.80663816833606e-33,3.81745965097558e-33,4.01425000416844e-33,9.3113390681862e-33,1.15180598281696e-31,3.24439185098466e-25
6100,6.20717634390541e-33,6.20723540542585e-33,6.20822669300889e-33,6.22587671625641e-33,6.54684466433498e-33,1.51839135731753e-32,1.84886507561398e-31,5.16201878350638e-25
6200,9.96278409291473e-33,9.96287889603166e-33,9.96447006997662e-33,9.99280115744621e-33,1.05080049095261e-32,2.4367953045303e-32,2.92236622081833e-31,8.08810416123404e-25
6300,1.57493283591097e-32,1.57494782360236e-32,1.57519937676548e-32,1.57967831784256e-32,1.66112823944487e-32,3.85176888045745e-32,4.55947695472476e-31,1.2523002583269e-24
6400,2.45383765640544e-32,2.45386100973531e-32,2.45425297163476e-32,2.46123191072808e-32,2.58814442282659e-32,6.00088141104296e-32,7.0273892443537e-31,1.9178407377727e-24
6500,3.77071464454283e-32,3.77075053313854e-32,3.77135288673226e-32,3.78207788066581e-32,3.97711261391618e-32,9.22093853305002e-32,1.07076909315989e-30,2.90760670425655e-24
6600,5.71831474544568e-32,5.71836917442979e-32,5.71928270959133e-32,5.73554833712417e-32,6.03133988776616e-32,1.39834068374869e-31,1.61406268884085e-30,4.36739082818821e-24
6700,8.56319259818857e-32,8.56327411118613e-32,8.56464222397902e-32,8.58900167362741e-32,9.03198013648336e-32,2.09404204316799e-31,2.40848964924536e-30,6.50402430367059e-24
6800,1.26697502183158e-31,1.2669870829568e-31,1.26718951668288e-31,1.27079387912759e-31,1.33633954177284e-31,3.09837366791815e-31,3.55978370759573e-30,9.60929926084027e-24
